study_ID,title,topic,topic2,year,authors,phenotype,Notes,Mean,Min mean,Max mean,Among_SD,Within nest,test,difference,Lat,Long,Major.group,Group,Group3,Group2,Back,Water,Genus,Species,Animal,Name,Order,family
171,"Maintenance of temperature of crocodile nests (Reptilia, Crocodilidae)",Nest environment,Thermoregulation,1979,"Magnusson, WE",n,Temps were much higher but cyclone reduced,29.5,,,,,,,-12.099,134.09,Reptile,1. Crocodilian,1. Crocodilian,Crocodilian,Vertebrate,Land,Crocodylus,porosus,Crocodylus_porosus,,,
192,Nesting ecology of the Paraguayan caiman (Caiman yacare) in the Brazilian Pantanal,Breeding ecology,General ecology,1988,"Cintra, R.",n,,33,30,35,1.15,,,,-17.266667,-56.983333,Reptile,1. Crocodilian,1. Crocodilian,Crocodilian,Vertebrate,Land,Caiman,yacare,Caiman_yacare,,,
190,"Nesting ecology of Caiman crocodilus in cano negro, Costa Rica",Breeding ecology,General ecology,1994,"Allsteadt, J",y,,31.8,30.5,32.8,,,31.65,0.15,10.959071,-84.745287,Reptile,1. Crocodilian,1. Crocodilian,Crocodilian,Vertebrate,Land,Caiman,crocodilus,Caiman_crocodilus,,,
195,Nesting of the Black Caiman (Melanosuchus niger) in Northeastern Ecuador,Breeding ecology,General ecology,2007,"Villamarin-Jurado, F and Suarez, E ",n,,31.2,,,,,,,-0.525963,-76.438649,Reptile,1. Crocodilian,1. Crocodilian,Crocodilian,Vertebrate,Land,Melanosuchus,niger,Melanosuchus_niger,,,
212,"Reproductive ecology of Orinoco crocodiles (Crocodylus intermedius) in a newly established population at El Frio Biological Station, Venezuela",Breeding ecology,General ecology,2010,"Antelo, R and Ayarzaguena, J and Castroviejo, J",y,,31.88,31.4,32.2,1.4,,31.8,0.08,-20.4237815,-54.5895958,Reptile,1. Crocodilian,1. Crocodilian,Crocodilian,Vertebrate,Land,Crocodylus,intermedius,Crocodylus_intermedius,,,
174,"Microclimate of American crocodile nests in Banco Chinchorro biosphere reserve, Mexico: Effect on incubation length, embryos survival and hatchlings sex",Nest environment,Thermoregulation,2012,"Charruau, P ",y,,31.67,29.84,33.11,0.89,,,,18.550354,-87.35919,Reptile,1. Crocodilian,1. Crocodilian,Crocodilian,Vertebrate,Land,Crocodylus,acutus,Crocodylus_acutus,,,
188,Nest-site selection by crocodiles at a rocky site in the Australian tropics: Making the best of a bad lot,Nest site selection,Evolution,2013,"Somaweera, R and Shine, R ",y,Lake:,32.29,29.4,34.5,1.3,,,,-16.438856,128.684741,Reptile,1. Crocodilian,1. Crocodilian,Crocodilian,Vertebrate,Land,Crocodylus,johnstoni,Crocodylus_johnsoni,,,
188,Nest-site selection by crocodiles at a rocky site in the Australian tropics: Making the best of a bad lot,Nest site selection,Evolution,2013,"Somaweera, R and Shine, R ",y,River,32.28,30.54,36.37,1.75,,,,-16.80741,128.720985,Reptile,1. Crocodilian,1. Crocodilian,Crocodilian,Vertebrate,Land,Crocodylus,johnstoni,Crocodylus_johnsoni,,,
225,Sex Ratios of Wild American Alligator Hatchlings in Southwest Louisiana,Sex ratio,Species management,2014,"Elsey, RM and Lang, JW and Elsey, Ruth M. and Lang, Jeffrey W.",y,Brought into lab after thermosenstivie period,32,29,35,,,,,29.7317,-92.8185,Reptile,1. Crocodilian,1. Crocodilian,Crocodilian,Vertebrate,Land,Alligator,mississippiensis,Alligator_mississippiensis,,,
111,Effects of climatic conditions on sex ratios in nests of broad-snouted caiman,Nest environment,Thermoregulation,2014,"Simoncini, MS and Cruz, FB and Larriera, A and Pina, CI ",n,Completed incubation in lab after TSP,30.8,,,1.4,,,,-29.973496,-60.61686,Reptile,1. Crocodilian,1. Crocodilian,Crocodilian,Vertebrate,Land,Caiman,latirostris,Caiman_latirostris,,,
