nest_code,species,daily_avg_temp,daily_avg_temp_var,incubation_length_days,date_laid,date_start,date_hatch,date_end,treatment,female_tag,num_eggs,num_hatchlings,hatching_success
PNTU_1197_AG6,PNTU,22.53392719,12.85147969,92,26/May/10,28-May-10,31-Aug-10,30-Aug-10,AG6,1197,6,6,100
PNTU_B37_C10,PNTU,21.94711187,12.03074943,89,28/May/10,30-May-10,30-Aug-10,29-Aug-10,C10,B37,7,6,86
PNTU_601_C4,PNTU,23.24213483,10.75290052,86,26/May/10,28-May-10,25-Aug-10,24-Aug-10,C4,601,6,3,50
PNTU_A37_C5,PNTU,23.19698246,10.36473856,92,25/May/10,27-May-10,30-Aug-10,29-Aug-10,A37,A37,8,2,25
PNTU_1110_O14,PNTU,20.47167942,16.37493134,95,20/Jun/11,22-Jun-11,28-Sep-11,27-Sep-11,O14,1110,9,8,89
PNTU_167_O11,PNTU,21.53154122,11.46139863,90,17/Jun/11,19-Jun-11,20-Sep-11,19-Sep-11,O11,167,8,1,13
PNTU_B4_O10,PNTU,24.60425347,9.312103697,69,17/Jun/11,19-Jun-11,30-Aug-11,29-Aug-11,O10,B4,11,11,100
PNTU_E45_O8,PNTU,24.21528139,9.099425326,74,14/Jun/11,16-Jun-11,1-Sep-11,31-Aug-11,O8,E45,7,6,86
PNTU_401N_O9,PNTU,23.8922309,14.68448975,93,14/Jun/11,16-Jun-11,20-Sep-11,19-Sep-11,401N,410N,8,8,100
PNTU_172_O1,PNTU,22.01599656,9.130553044,94,6/Jun/11,8-Jun-11,13-Sep-11,12-Sep-11,O1,172,6,4,67
PNTU_E172_O8,PNTU,23.38103086,6.016323588,78,22/Jun/11,24-Jun-11,13-Sep-11,12-Sep-11,O8,172,9,7,78
PNTU_E174_O11,PNTU,22.58562757,10.78726853,78,28/Jun/11,30-Jun-11,19-Sep-11,18-Sep-11,O11,174,6,6,100
PNTU_316N_AG10,PNTU,24.69902848,12.36498279,76,14/Jun/11,16-Jun-11,3-Sep-11,2-Sep-11,AG10,316N,6,6,100
PNTU_347_C7,PNTU,22.716101,13.05774002,89,10/Jun/11,12-Jun-11,12-Sep-11,11-Sep-11,C7,344,8,2,25
