data_ID,study_ID,title,year,authors,reported,direction,r,Checked,Order,Genus,Species,animal,N,Mean,Min,Max,SD,Long,Lat,Notes
1,1,Low male production at the world's largest green turtle rookery,2020,"Booth, DT and Dunstan, A and Bell, I and Reina, R and Tedeschi, J and Booth, D. T. and Dunstan, A. and Bell, I and Reina, R. and Tedeschi, J.",emailed raw data: positive,+,0.208137337,,Testudines,chelonia,mydas,Chelonia_mydas,146,30.88,,,,-11.59,144.0347,emailed raw data
2,2,"Microclimate of American crocodile nests in Banco Chinchorro biosphere        reserve, Mexico: Effect on incubation length, embryos survival and        hatchlings sex",2012,"Charruau, P and Charruau, Pierre",r=0.21,+,0.21,Y,Crocodilia,Crocodylus,acutus,Crocodylus_acutus,12,31.67,29.84,33.11,0.89,18.550354,-87.35919,
3,3,Estimating the sex ratio of loggerhead turtle hatchlings at Mon Repos        rookery (Australia) from nest temperatures,2008,"Chu, CT and Booth, DT and Limpus, CJ and Chu, Cuong The and Booth, David T. and Limpus, Colin J.",r2 = 0.002,+,0.04472136,Y,Testudines,caretta,caretta,Caretta_caretta,45,30.85,,,,-24.795699,152.441325,
6,4,Thermal conditions in nests of loggerhead turtles: further evidence        suggesting female skewed sex ratios of hatchling production in the        Mediterranean,2001,"Godley, BJ and Broderick, AC and Downie, JR and Glen, F and Houghton, JDR and Kirkwood, I and Reece, S and Hays, GC and Godley, BJ and Broderick, AC and Downie, JR and Glen, F and Houghton, JDR and Kirkwood, I and Reece, S and Hays, GC",r2=0.63,-,-0.793725393,Y,Testudines,caretta,caretta,Caretta_caretta,23,31.61,29.5,33.2,0.98,35.2245313,33.6252379,
7,5,"Nesting ecology of the American crocodile in La Encrucijada Biosphere        Reserve, Mexico",2016,"Gonzalez-Desales, GA and Monroy-Vilchis, O and Zarco-Gonzalez, MM and Charruau, P and Gonzalez-Desales, Giovany A. and Monroy-Vilchis, Octavio and Zarco-Gonzalez, Martha M. and Charruau, Pierre",r=−0.8214 (Spearman),-,-0.833894457,"Emailed Spearmans correlations, then converted",Crocodilia,Crocodylus,acutus,Crocodylus_acutus,7,32.1,24.3,36.5,1.68,15.315275,-92.820232,
8,6,The Effect of Thermal Variance on the Phenotype of Marine Turtle        Offspring,2014,"Horne, CR and Fuller, WJ and Godley, BJ and Rhodes, KA and Snape, R and Stokes, KL and Broderick, AC and Horne, C. R. and Fuller, W. J. and Godley, B. J. and Rhodes, K. A. and Snape, R. and Stokes, K. L. and Broderick, A. C.","X2(4,5) = 17.77 - negative",-,-0.558349699,Y. Yes calculated from the Chi square. Did you extract this from Fig 2d or calculate as SQRT(X2/N)? Yes. I confirm this r calculation,Testudines,caretta,caretta,Caretta_caretta,57,32.1,,,0.54772256,35.2245313,33.6252379,
9,7,Climate change impacts on fitness depend on nesting habitat in lizards,2011,"Huang, WS and Pike, DA and Huang, Wen-San and Pike, David A.",R2= 0.06 - positive,+,0.244948974,Y. Yes confirmed in email. ,Squamata,Eutropis,longicaudata,Eutropis_longicaudata,25,30.2,,,1.2,22.0444,121.5711111,Emailed for direction 23/11
10,8,The effects of nest incubation temperature on embryos and hatchlings of        the loggerhead sea turtle: Implications of sex difference for survival        rates during early life stages,2017,"Kobayashi, S and Wada, M and Fujimoto, R and Kumazawa, Y and Arai, K and Watanabe, G and Saito, T and Kobayashi, Shohei and Wada, Maoko and Fujimoto, Ryohei and Kumazawa, Yoshinori and Arai, Katsuhiko and Watanabe, Gen and Saito, Tomomi",r2 = 0.42,-,-0.64807407,Y. Direction emailed from author.,Testudines,caretta,caretta,Caretta_caretta,6,29.1,27.2,31,1.74,33.4674023,133.499799,
15,9,"Sunny side up: lethally high, not low, nest temperatures may prevent        oviparous reptiles from reproducing at high elevations",2003,"Shine, R and Elphick, MJ and Barrott, EG and Shine, R and Elphick, MJ and Barrott, EG"," r = 0.30, positive",+,0.3,Y,Squamata,bassiana,duperreyi,Bassiana_duperreyi,73,19.7,,,,-35.35,148.833333,
17,10,Nest-site selection by crocodiles at a rocky site in the Australian        tropics: Making the best of a bad lot,2013,"Somaweera, R and Shine, R and Somaweera, Ruchira and Shine, Richard","F1,65 = 0.39 negative",-,-0.07843,Y,Crocodilia,Crocodylus, johnsoni,Crocodylus_johnsoni,65,32.29,29.4,34.5,1.3,-16.438856,128.684741,
