data_ID,study_ID,title,year,authors,R2,r,Order,Genus,Species,animal,N,Mean,Min,Max,SD,Long,Lat,Notes
1,23,"Temperature-sex determination in Podocnemis expansa (Testudines,        Podocnemididae)",2011,"Bonach, K and Malvasio, A and Matushima, ER and Verdade, LM and Bonach, Kelly and Malvasio, Adriana and Matushima, Eliana R. and Verdade, Luciano M.",,0.0067,Testudines,emys,obicularis,Emys_orbicularis,7,30.04,28.4,31.2,0.95,-15.018922,-51.307707,emailed raw
1,1,Low male production at the world's largest green turtle rookery,2020,"Booth, DT and Dunstan, A and Bell, I and Reina, R and Tedeschi, J and Booth, D. T. and Dunstan, A. and Bell, I and Reina, R. and Tedeschi, J.",emailed raw data: positive,0.208137337,Testudines,chelonia,mydas,Chelonia_mydas,146,30.88,,,,-11.59,144.0347,emailed raw data
2,24,Incubation periods and sex ratios of green turtles: highly female biased        hatchling production in the eastern Mediterranean,2000,"Broderick, AC and Godley, BJ and Reece, S and Downie, JR and Broderick, AC and Godley, BJ and Reece, S and Downie, JR",r2 = -0.79,-0.888819442,Testudines,chelonia,mydas,Chelonia_mydas,18,30.9,29.8,32.5,0.73,35.2245313,33.6252379,
3,25,Water temperature at oviposition sites of Rana luteiventris in        northeastern Oregon,2003,"Bull, EL and Shepherd, JF and Bull, EL and Shepherd, JF",r= -.7944,-0.794,Anura,rana,luteiventris,Rana_luteiventris,13,10.16,8,15.7,1.95,45.021689,-118.278095,
4,26,"Sex Ratio of Green Turtle (Chelonia mydas) Hatchlings at Sugozu, Turkey:        Higher Accuracy with Pivotal Incubation Duration",2016,"Candan, O and Kolankaya, D and C and an, Onur and Kolankaya, Durdane",r2 = 0.53,0.728010989,Testudines,chelonia,mydas,Chelonia_mydas,12,30,28.3,31,0.91,36.826046,35.874078,
5,2,"Microclimate of American crocodile nests in Banco Chinchorro biosphere        reserve, Mexico: Effect on incubation length, embryos survival and        hatchlings sex",2012,"Charruau, P and Charruau, Pierre",r=0.16,0.16,Crocodilia,crocodylus,acutus,Crocodylus_acutus,12,31.67,29.84,33.11,0.89,18.550354,-87.35919,
2,2,"Microclimate of American crocodile nests in Banco Chinchorro biosphere        reserve, Mexico: Effect on incubation length, embryos survival and        hatchlings sex",2012,"Charruau, P and Charruau, Pierre",r=0.21,0.21,Crocodilia,Crocodylus,acutus,Crocodylus_acutus,12,31.67,29.84,33.11,0.89,18.550354,-87.35919,
6,3,Estimating the sex ratio of loggerhead turtle hatchlings at Mon Repos        rookery (Australia) from nest temperatures,2008,"Chu, CT and Booth, DT and Limpus, CJ and Chu, Cuong The and Booth, David T. and Limpus, Colin J.",r2 = -0.89,-0.943398113,Testudines,caretta,caretta,Caretta_caretta,45,30.85,,,,-24.795699,152.441325,
3,3,Estimating the sex ratio of loggerhead turtle hatchlings at Mon Repos        rookery (Australia) from nest temperatures,2008,"Chu, CT and Booth, DT and Limpus, CJ and Chu, Cuong The and Booth, David T. and Limpus, Colin J.",r2 = 0.002,0.04472136,Testudines,caretta,caretta,Caretta_caretta,45,30.85,,,,-24.795699,152.441325,
7,27,"Effects of temperature on hatching success in field incubating nests of        spur-thighed tortoises, Testudo graeca",2006,"Diaz-Paniagua, C and Andreu, AC and Keller, C and Diaz-Paniagua, C. and Andreu, A. C. and Keller, C.",,-0.375,Testudines,testudo,graeca,Testudo_graeca,56,27.9,23.5,30.5,1.6,37,-6.5,
