Lat,emmean,lower.HPD,upper.HPD,Major.group
-43.24,20.23698682,15.20957524,24.99762992,Amphibian
-42.99,20.29094923,15.27390139,25.02533965,Amphibian
-42.74,20.35989696,15.32195016,25.05454644,Amphibian
-42.49,20.41725023,15.33794555,25.05919674,Amphibian
-42.24,20.4782991,15.40616107,25.10846883,Amphibian
-41.99,20.52654281,15.46609648,25.13617855,Amphibian
-41.74,20.59091642,15.53922806,25.21648115,Amphibian
-41.49,20.65621765,15.53804221,25.20995551,Amphibian
-41.24,20.71009857,15.61024279,25.27220791,Amphibian
-40.99,20.76811961,15.74396977,25.39123636,Amphibian
-40.74,20.8237843,15.79647745,25.43335089,Amphibian
-40.49,20.87519613,15.84734149,25.4752549,Amphibian
-40.24,20.93162313,15.92468238,25.55311565,Amphibian
-39.99,20.99937356,15.98258199,25.61959417,Amphibian
-39.74,21.05956182,16.0779637,25.71360712,Amphibian
-39.49,21.11018773,16.09838122,25.73738852,Amphibian
-39.24,21.16142103,16.22896351,25.84288345,Amphibian
-38.99,21.22071936,16.28446369,25.86842138,Amphibian
-38.74,21.28767495,16.351565,25.91240995,Amphibian
-38.49,21.3472451,16.41286575,25.97229234,Amphibian
-38.24,21.40666018,16.47416649,26.03217472,Amphibian
-37.99,21.46115146,16.51888991,26.10418982,Amphibian
-37.74,21.52038264,16.59076498,26.17019911,Amphibian
-37.49,21.58933485,16.64612224,26.21183854,Amphibian
-37.24,21.64824534,16.69675564,26.27170425,Amphibian
-36.99,21.70548135,16.75683676,26.33199221,Amphibian
-36.74,21.75977945,16.81219402,26.41977281,Amphibian
-36.49,21.82229481,16.86755128,26.45500351,Amphibian
-36.24,21.87409077,16.96457245,26.54071416,Amphibian
-35.99,21.92840959,17.01463031,26.58008975,Amphibian
-35.74,21.98158857,16.60843992,26.17130571,Amphibian
-35.49,22.04315288,16.64374463,26.18962197,Amphibian
-35.24,22.10363604,16.64312895,26.18011558,Amphibian
-34.99,22.15669828,16.71435404,26.2250019,Amphibian
-34.74,22.21266413,16.78600458,26.29849274,Amphibian
-34.49,22.27360189,16.84187733,26.34814318,Amphibian
-34.24,22.33330045,16.931725,26.440707,Amphibian
-33.99,22.40165406,16.95380326,26.48375447,Amphibian
-33.74,22.47060666,17.00973615,26.55411395,Amphibian
-33.49,22.5218204,17.06566905,26.64944521,Amphibian
-33.24,22.5794996,17.5384573,27.08092342,Amphibian
-32.99,22.63080776,17.60377119,27.09965137,Amphibian
-32.74,22.69518096,17.66167081,27.13808233,Amphibian
-32.49,22.75959514,17.71957042,27.21013748,Amphibian
-32.24,22.81640676,17.71719125,27.21226588,Amphibian
-31.99,22.87320029,17.7939837,27.28112,Amphibian
-31.74,22.930897,17.87077616,27.36634511,Amphibian
-31.49,22.99605351,17.93772848,27.45890893,Amphibian
-31.24,23.05591532,17.94262115,27.51167781,Amphibian
-30.99,23.11555573,17.89807394,27.48678183,Amphibian
-30.74,23.18521344,17.96822542,27.54847044,Amphibian
-30.49,23.23514858,18.03586552,27.61085201,Amphibian
-30.24,23.29641017,18.10350563,27.67184765,Amphibian
-29.99,23.35577276,18.17114574,27.73353625,Amphibian
-29.74,23.41728987,18.22178546,27.79522485,Amphibian
-29.49,23.47694848,18.25898133,27.84202724,Amphibian
-29.24,23.53105024,18.90634423,28.49136183,Amphibian
-28.99,23.58206063,18.95523579,28.54311283,Amphibian
-28.74,23.62763044,18.44527296,28.04197927,Amphibian
-28.49,23.67999114,19.04822795,28.65500321,Amphibian
-28.24,23.73920002,19.08712009,28.6921733,Amphibian
-27.99,23.79913135,19.12601222,28.75712491,Amphibian
-27.74,23.8620912,18.51935244,28.14568719,Amphibian
-27.49,23.92407532,18.55654832,28.20116549,Amphibian
-27.24,23.98205562,19.12384728,28.77172385,Amphibian
-26.99,24.0452587,19.21402752,28.84663737,Amphibian
-26.74,24.10258577,18.91589713,28.5354881,Amphibian
-26.49,24.15883748,18.95925265,28.5971767,Amphibian
-26.24,24.20894787,19.00808701,28.66489815,Amphibian
-25.99,24.26126606,19.37447981,29.04510067,Amphibian
-25.74,24.3169065,19.40116841,29.07770375,Amphibian
-25.49,24.37069348,19.44952412,29.13034235,Amphibian
-25.24,24.42930012,19.49787983,29.18298094,Amphibian
-24.99,24.48891266,19.54623555,29.21545626,Amphibian
-24.74,24.54938126,19.59158799,29.26950122,Amphibian
-24.49,24.60715197,19.6592281,29.34674346,Amphibian
-24.24,24.65789262,19.67799167,29.37759114,Amphibian
-23.99,24.71688931,19.62716038,29.32406475,Amphibian
-23.74,24.7793917,19.9819587,29.67295308,Amphibian
-23.49,24.8385911,19.92947313,29.62215992,Amphibian
-23.24,24.89616269,19.99742863,29.69101403,Amphibian
-22.99,24.95081438,20.05251038,29.75986815,Amphibian
-22.74,25.00787125,20.17451074,29.87888548,Amphibian
-22.49,25.06325173,20.23586998,29.94113788,Amphibian
-22.24,25.12111302,20.26798906,29.97880072,Amphibian
-21.99,25.17638581,20.32419966,30.04104739,Amphibian
-21.74,25.2385019,20.40326928,30.12789508,Amphibian
-21.49,25.30062106,20.47090938,30.19014748,Amphibian
-21.24,25.36122925,20.52260977,30.25239988,Amphibian
-20.99,25.42013927,20.54247293,30.32044832,Amphibian
-20.74,25.48337655,20.54285821,30.34348012,Amphibian
-20.49,25.53642412,20.58219927,30.39935737,Amphibian
-20.24,25.59186751,20.6299871,30.47677408,Amphibian
-19.99,25.64634736,20.70803728,30.56366187,Amphibian
-19.74,25.70982081,20.76266452,30.62591427,Amphibian
-19.49,25.76732468,20.8017754,30.69069587,Amphibian
-19.24,25.8230833,20.78824997,30.72817017,Amphibian
-18.99,25.88481009,20.841668,30.81267147,Amphibian
-18.74,25.94634077,20.84877074,30.85025409,Amphibian
-18.49,26.00209785,21.03580073,31.03621469,Amphibian
-18.24,26.06818556,20.96237672,31.00696459,Amphibian
-17.99,26.12268655,21.07774804,31.13695045,Amphibian
-17.74,26.18169114,21.12117777,31.20580457,Amphibian
-17.49,26.23853247,21.07470291,31.20682367,Amphibian
-17.24,26.2982266,21.1276566,31.25161389,Amphibian
-16.99,26.36423404,21.14320215,31.29212816,Amphibian
-16.74,26.42845069,21.18679913,31.33855813,Amphibian
-16.49,26.49613244,21.23265808,31.41047412,Amphibian
-16.24,26.56108732,21.27249269,31.49744787,Amphibian
-15.99,26.61413921,21.30870171,31.55970027,Amphibian
-15.74,26.66467236,21.33539687,31.62195266,Amphibian
-15.49,26.72893998,21.38111976,31.6903555,Amphibian
-15.24,26.79504489,21.41732878,31.76071497,Amphibian
-14.99,26.8434328,21.4535378,31.83107445,Amphibian
-14.74,26.89768469,21.48974682,31.90143392,Amphibian
-14.49,26.95045501,21.52595585,31.97179339,Amphibian
-14.24,26.99815839,21.53886298,32.01074513,Amphibian
-13.99,27.05628231,21.59082084,32.09006718,Amphibian
-13.74,27.11528575,21.70362214,32.22165412,Amphibian
