Species
Acromyrmex lobicornis
Actinemys marmorata
Alligator mississippiensis
Ambloplites constellatus
Amitermes evuncifer
Amphibolurus muricatus
Anadia bogotensis
Apis cerana
Apis mellifera
Aspidoscelis costata
Aspidoscelis costatus
Atta sexdens
Atta vollenweideri
Austroplebeia australis
Bassiana duperreyi
Boana faber
Brachylophus vitiensis
Bryobatrachus nimbus
Caiman crocodilus
Caiman latirostris
Caiman yacare
Camponotus acvapimensis
Camponotus pennsylvanicus
Caretta caretta
Carettochelys insculpta
Cheiracanthium japonicum
Cheiracanthium lascivum
Chelodina longicollis
Chelonia mydas
Chelydra serpentina
Chrysemys picta
Clemmys guttata
Crinia georgiana
Crocodylus acutus
Crocodylus intermedius
Crocodylus johnsoni
Crocodylus moreletii
Crocodylus porosus
Cyanotricha necyria
Cyclura cychlura
Cyclura nubila
Dermochelys coriacea
Eciton burchellii
Emydura macquarii
Emys orbicularis
Ephemerella infrequens
Eretmochelys imbricata
Erythrolamprus epinephelus
Euphydryas editha
Eutropis longicaudata
Formica aquilonia
Formica fusca
Formica polyctena
Gasterosteus aculeatus
Graptemys geographica
Hemicloea major
Heterodon platirhinos
Lampropholis delicata
Lepidochelys olivacea
Lepidotrigona ventralis
Lepomis macrochirus
Leptodactylus labyrinthicus
Liasis fuscus
Macrochelys temminckii
Malaclemys terrapin
Manduca sexta
Mauremys leprosa
Mauremys reevesii
Megachile rotundata
Melanosuchus niger
Myrmica punctiventris
Nasutitermes acajutlae
Natator depressus
Natrix natrix
Oedura lesueurii
Oligosoma suteri
Osteolaemus tetraspis
Pantherophis_obsoletus
Phrynops geoffroanus
Phrynops hilarii
Physalaemus cuvieri
Pimephales promelas
Pleurodema tucumanum
Podocnemis expansa
Podocnemis sextuberculata
Polistes biglumis
Polistes dominula
Polistes gallicus
Polyba paulista
Polybia scutellaris
Pomoxis annularis
Porichthys notatus
Protopterus aethiopicus
Python bivittatus
Rana luteiventris
Rana sylvatica
Sacalia bealei
Sasajiscymnus tsugae
Sceloporus ornatus
Sceloporus virgatus
Solenopsis invicta
Sphenodon punctatus
Terrapene carolina
Testudo graeca
Trachemys dorbigni
Trinervitermes geminatus
Tripanurga importuna
Xylocopa sonorina
Diplodactylus vittatus
